scontrino_id,vendita_id,cassa_id,prodotto_id,quantità,prezzo_unitario,totale,giorno,ora,metodo_pagamento
9247ec3b-28ab-4196-b773-00d2713aa48a,34e3fb9f-ce10-46fd-9fa7-06863ae69922,CASSA_01,814,2,2.84,5.68,2026-01-31,08:56:05,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,7b0805b6-4522-4f24-8e41-5b9377d3fff3,CASSA_01,2104,5,4.37,21.85,2026-01-31,08:56:06,carta
9247ec3b-28ab-4196-b773-00d2713aa48a,dac6e8ed-8bd9-4f7f-aa04-19d5ffc1f449,CASSA_01,2348,4,2.85,11.4,2026-01-31,08:56:07,carta
f6b51360-1116-46b7-aa26-c3c53910bac7,8392aa54-3884-4938-981b-03e7f644592a,CASSA_01,1071,1,1.36,1.36,2026-01-31,09:39:36,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,ce258513-7174-4114-926a-88bf2fe24c4c,CASSA_01,2901,4,6.57,26.28,2026-01-31,09:39:37,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,6ca45e15-3c27-4b29-b5e6-06ab83560a8c,CASSA_01,3586,5,3.81,19.05,2026-01-31,09:39:38,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,5f1c2ee7-c2ee-4580-9535-772695d16a06,CASSA_01,3965,4,2.89,11.56,2026-01-31,09:39:39,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,67f9f7c2-e120-4a8c-a791-3e48e3b255b1,CASSA_01,1234,3,8.32,24.96,2026-01-31,09:39:40,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,7e37831a-269e-4042-b154-15bd046c11d9,CASSA_01,4322,3,2.02,6.06,2026-01-31,09:39:41,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,8628c9a0-a3a8-4c79-b40c-b96c4c9c055b,CASSA_01,3495,1,4.18,4.18,2026-01-31,09:39:42,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,8d33b3f1-eb5a-4ee1-ba66-db97141a8353,CASSA_01,2235,1,1.95,1.95,2026-01-31,09:39:43,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,d3fac414-173b-432b-8fde-67befa22d396,CASSA_01,4900,5,2.65,13.25,2026-01-31,09:39:44,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,a124cc0b-3f58-48af-816a-61bd70856ac1,CASSA_01,1372,1,5.45,5.45,2026-01-31,09:39:45,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,2c911647-e875-4c48-a6b6-32de27b5f0d4,CASSA_01,3404,2,0.96,1.92,2026-01-31,09:39:46,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,8b940463-80ba-4896-8f2d-fec70566b0a1,CASSA_01,4723,4,3.45,13.8,2026-01-31,09:39:47,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,7293784f-1dcc-4744-a5bf-8e384607a8e4,CASSA_01,1733,3,4.85,14.55,2026-01-31,09:39:48,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,9b51dd78-b358-4dcb-9969-c6063f14e2d6,CASSA_01,4550,2,4.42,8.84,2026-01-31,09:39:49,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,83c4384b-d434-4e33-b9eb-5154f0030a6e,CASSA_01,2399,1,3.05,3.05,2026-01-31,09:39:50,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,595fb193-ce6c-4814-94c7-aa8056900143,CASSA_01,1501,1,2.65,2.65,2026-01-31,09:39:51,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,65bd9631-25a5-4a20-a1ea-06cb6e89029c,CASSA_01,860,1,10.16,10.16,2026-01-31,09:39:52,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,20f55de7-5608-44a9-9eb2-f2d4166db503,CASSA_01,3204,1,5.31,5.31,2026-01-31,09:39:53,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,8bf500aa-816f-4ec4-9661-9b848ba17ce6,CASSA_01,2312,3,4.8,14.4,2026-01-31,09:39:54,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,fd5d0b98-f4f9-473c-9af7-403df1ce1fea,CASSA_01,4312,4,4.0,16.0,2026-01-31,09:39:55,contanti
f6b51360-1116-46b7-aa26-c3c53910bac7,bfc25a3f-f8da-4523-8aaa-71c5b21882ea,CASSA_01,2508,1,1.79,1.79,2026-01-31,09:39:56,contanti
42ad2045-4d0c-4413-9b11-0bfc73c4bb01,21c6a939-c113-4306-b576-08e14d63fa13,CASSA_01,3062,2,4.3,8.6,2026-01-31,10:23:20,carta
d351126c-49d6-44e8-bb33-bd16d927ad87,a2662ea5-c32a-4c03-bcb6-21a6530fe511,CASSA_01,4339,3,8.06,24.18,2026-01-31,10:24:26,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,9b95a59c-ff01-47e3-8ea5-88ed01c6b410,CASSA_01,3078,2,9.62,19.24,2026-01-31,10:24:27,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,22d33a3a-9ce8-4288-9cfc-78c5bda540fb,CASSA_01,24,3,5.06,15.18,2026-01-31,10:24:28,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,2804da3b-abd5-4ad7-935d-54cc82458960,CASSA_01,603,5,1.13,5.65,2026-01-31,10:24:29,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,f70cda39-853c-429c-9133-dbdc6c03dc58,CASSA_01,4089,1,3.45,3.45,2026-01-31,10:24:30,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,461a3b5d-a98e-4e4a-bdfd-be3cad19fd6c,CASSA_01,4070,2,8.47,16.94,2026-01-31,10:24:31,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,befe88ad-e123-4f20-ba58-7582d5db69d7,CASSA_01,2336,3,1.26,3.78,2026-01-31,10:24:32,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,35ad14df-bee5-4338-836a-8f439d2b4c16,CASSA_01,654,3,2.6,7.8,2026-01-31,10:24:33,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,98858898-0c27-4c6a-9de7-45e8962254d7,CASSA_01,2728,5,2.75,13.75,2026-01-31,10:24:34,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,019a46dc-74c3-45e0-8317-f8b05c78bb4f,CASSA_01,3929,4,2.31,9.24,2026-01-31,10:24:35,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,05861f17-1bae-49a3-9ee6-c1b12b79c97c,CASSA_01,4583,3,1.85,5.55,2026-01-31,10:24:36,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,ddcd61d7-7dbb-458e-ae54-95e861fdf148,CASSA_01,1353,2,6.28,12.56,2026-01-31,10:24:37,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,d9fe5b5d-4efe-4fa0-a3e1-9d62e995d419,CASSA_01,484,1,2.17,2.17,2026-01-31,10:24:38,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,e4845c06-17ab-440a-97f3-c6232b100677,CASSA_01,2578,5,1.08,5.4,2026-01-31,10:24:39,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,7d65d8a2-fe83-43f0-944f-9213dbe78f52,CASSA_01,2711,2,5.87,11.74,2026-01-31,10:24:40,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,5c17ed4d-13a4-4273-96b7-a951b46cd4a1,CASSA_01,844,3,1.81,5.43,2026-01-31,10:24:41,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,777b757a-cb24-4b6a-9f81-c2e895c447f9,CASSA_01,3937,2,4.35,8.7,2026-01-31,10:24:42,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,4daec821-f190-4359-b417-5f9dae9110d5,CASSA_01,538,3,2.73,8.19,2026-01-31,10:24:43,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,d6e5bbd9-d121-4113-9b4d-00a53ce53093,CASSA_01,4611,1,2.3,2.3,2026-01-31,10:24:44,contanti
d351126c-49d6-44e8-bb33-bd16d927ad87,d2e451af-799f-4876-ab66-27a371eed55b,CASSA_01,4033,1,4.53,4.53,2026-01-31,10:24:45,contanti
74159fb6-6c57-4905-9894-12068d002786,e4a944bb-67b8-46a1-9763-2700009e58e5,CASSA_01,2311,4,0.66,2.64,2026-01-31,09:32:20,contanti
74159fb6-6c57-4905-9894-12068d002786,5867dfb8-1941-45c1-94d4-fa410b7f3509,CASSA_01,4930,5,4.87,24.35,2026-01-31,09:32:21,contanti
74159fb6-6c57-4905-9894-12068d002786,65be1c58-7b5e-4aa0-bfd1-c3518a3a493f,CASSA_01,2191,5,3.58,17.9,2026-01-31,09:32:22,contanti
74159fb6-6c57-4905-9894-12068d002786,9f7f9e09-0abc-4e5c-a040-8d7895e95a17,CASSA_01,2244,2,8.12,16.24,2026-01-31,09:32:23,contanti
74159fb6-6c57-4905-9894-12068d002786,5ca41b69-8f55-4654-800c-f9b916a25ee7,CASSA_01,1546,3,1.22,3.66,2026-01-31,09:32:24,contanti
74159fb6-6c57-4905-9894-12068d002786,33864f00-9e01-48f3-b21c-7ff2a5fa2f2c,CASSA_01,2497,4,4.4,17.6,2026-01-31,09:32:25,contanti
74159fb6-6c57-4905-9894-12068d002786,5ada6490-c91e-4b71-81e8-94ae850c7400,CASSA_01,2585,3,7.34,22.02,2026-01-31,09:32:26,contanti
74159fb6-6c57-4905-9894-12068d002786,2f7ad166-fbd5-4748-8487-917d8040e472,CASSA_01,4625,5,3.43,17.15,2026-01-31,09:32:27,contanti
74159fb6-6c57-4905-9894-12068d002786,2ab38f09-92f8-4714-a74c-f0c5a34a6bc0,CASSA_01,2947,2,2.43,4.86,2026-01-31,09:32:28,contanti
74159fb6-6c57-4905-9894-12068d002786,d27e1369-9ad9-40e1-95e2-affc328fc4a9,CASSA_01,4239,4,4.11,16.44,2026-01-31,09:32:29,contanti
74159fb6-6c57-4905-9894-12068d002786,46179885-28bc-4b28-899f-76c61242e3b1,CASSA_01,3251,3,4.95,14.85,2026-01-31,09:32:30,contanti
74159fb6-6c57-4905-9894-12068d002786,e0fe546a-4210-4fdf-8a2e-88ce5d07e1f0,CASSA_01,145,3,2.7,8.1,2026-01-31,09:32:31,contanti
74159fb6-6c57-4905-9894-12068d002786,6936833d-acf4-4dd9-8a9b-28fbbd0282bd,CASSA_01,3698,5,6.16,30.8,2026-01-31,09:32:32,contanti
74159fb6-6c57-4905-9894-12068d002786,c745115f-3491-427f-a92a-43890cc6f178,CASSA_01,1452,4,3.14,12.56,2026-01-31,09:32:33,contanti
74159fb6-6c57-4905-9894-12068d002786,cc2249aa-2b60-400a-a3cf-31501f05d392,CASSA_01,4983,5,4.99,24.95,2026-01-31,09:32:34,contanti
74159fb6-6c57-4905-9894-12068d002786,63409b3c-c820-43f8-a835-337c2c824ed6,CASSA_01,257,4,5.74,22.96,2026-01-31,09:32:35,contanti
74159fb6-6c57-4905-9894-12068d002786,1756804b-0f65-46c1-9d9a-759ed75d01df,CASSA_01,2241,4,3.77,15.08,2026-01-31,09:32:36,contanti
74159fb6-6c57-4905-9894-12068d002786,87db3c5d-33e1-444a-8cd0-80a0f9a7b918,CASSA_01,699,3,4.42,13.26,2026-01-31,09:32:37,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,bddd51dd-d8df-42de-b272-48d0b5922788,CASSA_01,140,2,2.2,4.4,2026-01-31,10:36:55,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,d516438d-b8e8-4a69-b852-ac70ac5e2b26,CASSA_01,2740,5,1.25,6.25,2026-01-31,10:36:56,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,37f2afa1-2959-484f-b424-9dabe0931962,CASSA_01,1516,1,3.73,3.73,2026-01-31,10:36:57,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,93b016a4-f62a-42af-a7e1-6c9484e6dd18,CASSA_01,1154,2,7.46,14.92,2026-01-31,10:36:58,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,7cb9c898-407c-4673-84f8-b276f7e8a553,CASSA_01,2418,4,1.64,6.56,2026-01-31,10:36:59,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,83ee5693-998e-4644-8e42-dfa17c51387f,CASSA_01,2567,2,4.28,8.56,2026-01-31,10:37:00,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,491a0df6-ca87-440b-8400-0f1e67a1dfce,CASSA_01,1159,5,1.75,8.75,2026-01-31,10:37:01,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,78a8eb54-74e8-45da-a6cf-7ef343997399,CASSA_01,460,2,2.89,5.78,2026-01-31,10:37:02,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,16c8d44e-3004-4db5-ac9e-469039968b76,CASSA_01,80,2,3.82,7.64,2026-01-31,10:37:03,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,78cae21b-6d9a-4269-8b2f-b572447c3819,CASSA_01,1977,5,1.35,6.75,2026-01-31,10:37:04,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,88e7e9bd-1a85-4f0f-93cf-45e6a1d0a7d1,CASSA_01,3235,2,2.32,4.64,2026-01-31,10:37:05,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,4fb86647-e917-410e-9088-c7ab23be9221,CASSA_01,2212,1,5.27,5.27,2026-01-31,10:37:06,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,7e814b91-817d-4115-b1f9-b89bf2405efc,CASSA_01,4176,3,6.97,20.91,2026-01-31,10:37:07,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,315e34d9-15af-4f0a-8448-d86e23b50874,CASSA_01,2205,3,4.09,12.27,2026-01-31,10:37:08,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,89f4c44e-dae4-4db1-a94d-12a761301091,CASSA_01,1198,3,1.86,5.58,2026-01-31,10:37:09,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,7be4fd6a-6d45-4c36-b012-1129080b8556,CASSA_01,2562,1,4.93,4.93,2026-01-31,10:37:10,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,14698383-61ef-4004-acf8-648a2ee06fff,CASSA_01,1087,3,1.64,4.92,2026-01-31,10:37:11,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,9656611f-585d-4303-a0a0-e8e4ab6170b5,CASSA_01,274,1,9.49,9.49,2026-01-31,10:37:12,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,14cc8840-af5d-40e2-af58-e20bb665d9e8,CASSA_01,1465,4,1.16,4.64,2026-01-31,10:37:13,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,f14ca530-b6c1-48d0-bb8c-2cfcdae49ef2,CASSA_01,4609,2,6.42,12.84,2026-01-31,10:37:14,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,14a43e4f-af8d-44e0-b037-ec9755b36bbd,CASSA_01,3302,3,9.65,28.95,2026-01-31,10:37:15,contanti
3b4b31c5-0998-4a0f-b632-e978e2ee5b79,59256b2c-8e6b-43db-90a5-0f46793ac726,CASSA_01,3216,1,11.77,11.77,2026-01-31,10:37:16,contanti
3510ea1c-fcec-46bc-8594-d52dbb6037ca,ee4ca460-be09-4050-9fff-10364a8e8e63,CASSA_01,3935,4,3.23,12.92,2026-01-31,10:39:00,contanti
3510ea1c-fcec-46bc-8594-d52dbb6037ca,5dbf4af2-55db-4b32-bdc8-f2c394f1b484,CASSA_01,360,1,5.82,5.82,2026-01-31,10:39:01,contanti
3510ea1c-fcec-46bc-8594-d52dbb6037ca,ca5e3f3f-44f0-4a20-afb7-79c9e5020edb,CASSA_01,3359,3,5.78,17.34,2026-01-31,10:39:02,contanti
3510ea1c-fcec-46bc-8594-d52dbb6037ca,f7e7fe83-16ab-4220-807e-7ab21df7523b,CASSA_01,4730,4,5.17,20.68,2026-01-31,10:39:03,contanti
3510ea1c-fcec-46bc-8594-d52dbb6037ca,209551e3-9ad9-4632-bf02-7a21bc332c4e,CASSA_01,4084,1,1.69,1.69,2026-01-31,10:39:04,contanti
3510ea1c-fcec-46bc-8594-d52dbb6037ca,e89727e0-80d3-48ef-b799-19fabba71cbf,CASSA_01,3552,1,6.59,6.59,2026-01-31,10:39:05,contanti
b63f9e62-fd38-4573-b9cd-58a294dd6b58,8447ced6-ca35-4f8a-8355-6799a93de2e2,CASSA_01,1136,1,2.22,2.22,2026-01-31,09:31:22,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,2bedfcd1-f2a9-4bc2-975a-497894cc1467,CASSA_01,21,4,4.17,16.68,2026-01-31,09:31:23,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,7d37fbda-2b1f-4341-bf20-9be0e33a8267,CASSA_01,3162,4,0.72,2.88,2026-01-31,09:31:24,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,044d4afc-3068-4536-9181-13fc35898e69,CASSA_01,4004,5,3.07,15.35,2026-01-31,09:31:25,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,7df149ce-5c82-47fa-967c-8b9b5ad29bc8,CASSA_01,2506,2,9.13,18.26,2026-01-31,09:31:26,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,1189e8cc-a387-419a-8e76-aea88706bf5f,CASSA_01,4464,2,7.66,15.32,2026-01-31,09:31:27,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,8490ce06-1b9e-4bf4-a482-aa7b772cf48b,CASSA_01,3541,1,2.62,2.62,2026-01-31,09:31:28,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,2ee1a75d-e091-40ed-86f2-6c8899b2882a,CASSA_01,1166,4,6.94,27.76,2026-01-31,09:31:29,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,59929b88-1cf0-4849-858e-06e2a7414fd3,CASSA_01,1375,3,1.68,5.04,2026-01-31,09:31:30,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,d86bd6b2-6608-4983-bf11-3557fa9188c3,CASSA_01,4923,1,1.75,1.75,2026-01-31,09:31:31,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,ea7e2cd3-d224-4584-8dbb-06e0a5fc1cd6,CASSA_01,318,3,11.83,35.49,2026-01-31,09:31:32,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,110b6596-91f2-481a-b823-c60aaa50f25a,CASSA_01,3130,2,1.18,2.36,2026-01-31,09:31:33,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,250b0755-f230-48b3-a7c0-f7bf86503541,CASSA_01,644,1,11.18,11.18,2026-01-31,09:31:34,carta
b63f9e62-fd38-4573-b9cd-58a294dd6b58,5daef702-35d0-49d2-b289-029abf8c66fb,CASSA_01,375,3,5.92,17.76,2026-01-31,09:31:35,carta
c1570e07-6e0a-454a-aecd-4e3f4daa06eb,83627be5-81bf-4e60-a012-a6ebe3489dde,CASSA_01,4233,4,4.03,16.12,2026-01-31,09:53:27,contanti
c1570e07-6e0a-454a-aecd-4e3f4daa06eb,4c1e5c2b-6ddc-4456-818d-0eee608539e7,CASSA_01,4536,4,0.97,3.88,2026-01-31,09:53:28,contanti
474b40aa-46c0-4a05-bea0-bea56d9d83fe,74ebbbc6-6ffc-4e0f-baf1-e2d35bed5c49,CASSA_01,961,5,2.05,10.25,2026-01-31,09:27:51,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,3e126def-f9c5-4e44-b1c5-48641fa28104,CASSA_01,4427,5,2.31,11.55,2026-01-31,09:27:52,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,e16b5075-01f9-4b97-9703-ecec869c8d96,CASSA_01,4464,3,7.66,22.98,2026-01-31,09:27:53,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,f59a94d8-aed2-4760-8975-c04db2096a93,CASSA_01,3846,2,6.27,12.54,2026-01-31,09:27:54,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,3a94596b-f1cd-4c16-bbda-5e2e6b335603,CASSA_01,1166,4,6.94,27.76,2026-01-31,09:27:55,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,8ea74866-a8b8-409d-a5c2-d6cb248abb8c,CASSA_01,2271,2,2.92,5.84,2026-01-31,09:27:56,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,2c429894-70f6-4e58-aa9d-5d9fda8204b8,CASSA_01,2959,4,4.83,19.32,2026-01-31,09:27:57,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,25ef5abc-2d2e-45c4-b364-8d8fdfb67d0b,CASSA_01,772,5,1.28,6.4,2026-01-31,09:27:58,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,3d909121-470d-4630-b8b0-e6e1241a217f,CASSA_01,2535,5,3.56,17.8,2026-01-31,09:27:59,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,c662e1d6-5bfa-4d08-a251-2e2737a9d81c,CASSA_01,4279,3,2.89,8.67,2026-01-31,09:28:00,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,6849192a-7497-4d8f-8041-8b8786f72fc3,CASSA_01,3422,4,0.96,3.84,2026-01-31,09:28:01,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,0f6c3d3f-4eed-485c-ba65-3cd65b3ed499,CASSA_01,3693,2,1.01,2.02,2026-01-31,09:28:02,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,201b3e5e-7d08-48b6-b3dc-0800693b8fb2,CASSA_01,3884,5,8.35,41.75,2026-01-31,09:28:03,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,25b94a17-c356-4b8e-b65e-e1ede24433e7,CASSA_01,137,5,6.57,32.85,2026-01-31,09:28:04,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,afac553e-a7fd-4e3e-b3ec-8f83955aa733,CASSA_01,3936,3,5.62,16.86,2026-01-31,09:28:05,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,f7f4139c-e331-4f09-965f-bda75fa211f4,CASSA_01,3084,1,5.45,5.45,2026-01-31,09:28:06,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,9cf572f6-57bd-4c87-9e0e-252840423059,CASSA_01,4415,5,7.24,36.2,2026-01-31,09:28:07,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,7889e024-ac53-4a99-a8e2-b17e851d2053,CASSA_01,4897,1,5.46,5.46,2026-01-31,09:28:08,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,55ce7ce4-3756-438a-bc80-5e5cf3040f4c,CASSA_01,2716,2,1.41,2.82,2026-01-31,09:28:09,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,484de29b-30d4-458c-9197-fd7dad561c42,CASSA_01,3866,5,5.48,27.4,2026-01-31,09:28:10,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,af9870f5-d51d-4219-880d-c2efea8fcf49,CASSA_01,4884,2,4.82,9.64,2026-01-31,09:28:11,carta
474b40aa-46c0-4a05-bea0-bea56d9d83fe,4851f778-8891-47a7-b487-4fe03b971cb1,CASSA_01,738,4,1.17,4.68,2026-01-31,09:28:12,carta
6814958f-1de8-4e45-bc49-17d0ee94962a,d7972a48-8363-4e21-aeb8-33140698473d,CASSA_01,2214,3,1.07,3.21,2026-01-31,09:40:13,contanti
6814958f-1de8-4e45-bc49-17d0ee94962a,acc147f1-9e44-490b-a9f5-02e7868bc1b6,CASSA_01,3846,3,6.27,18.81,2026-01-31,09:40:14,contanti
6814958f-1de8-4e45-bc49-17d0ee94962a,45a629fc-582e-4ca3-86cd-d27967d9279f,CASSA_01,386,5,2.01,10.05,2026-01-31,09:40:15,contanti
6814958f-1de8-4e45-bc49-17d0ee94962a,4d3d7004-b304-4d9d-897d-5de3ccb030f5,CASSA_01,4294,3,6.16,18.48,2026-01-31,09:40:16,contanti
6814958f-1de8-4e45-bc49-17d0ee94962a,55be4f28-ef96-4870-808b-7263ca5cf565,CASSA_01,2321,3,2.34,7.02,2026-01-31,09:40:17,contanti
71e2adfd-745e-4a9e-af1a-fb68d7232dee,271cb73b-3f0c-4ccd-9b53-247e3727b9e1,CASSA_01,1150,5,2.17,10.85,2026-01-31,10:22:21,contanti
71e2adfd-745e-4a9e-af1a-fb68d7232dee,d2d652c8-57df-4446-927b-a913c32a0d1d,CASSA_01,4129,3,2.74,8.22,2026-01-31,10:22:22,contanti
71e2adfd-745e-4a9e-af1a-fb68d7232dee,a13cb2c6-09c0-42c6-92f2-c62fdeabfb66,CASSA_01,4586,1,9.5,9.5,2026-01-31,10:22:23,contanti
71e2adfd-745e-4a9e-af1a-fb68d7232dee,b5ab3d62-0b28-41e4-bf13-d124ddb31c7c,CASSA_01,1029,2,4.04,8.08,2026-01-31,10:22:24,contanti
71e2adfd-745e-4a9e-af1a-fb68d7232dee,b4e648cd-748a-44ce-b1b5-32745e17c171,CASSA_01,4324,4,2.02,8.08,2026-01-31,10:22:25,contanti
71e2adfd-745e-4a9e-af1a-fb68d7232dee,ad92d814-d186-4a0c-9c58-8de2ad5f61cf,CASSA_01,703,2,0.84,1.68,2026-01-31,10:22:26,contanti
